Timestamp: 2022-05-13 22:43:38, values: 31*C, 45%
Timestamp: 2022-05-13 22:43:31, values: 31*C, 45%
Timestamp: 2022-05-13 22:43:17, values: 31*C, 45%
Timestamp: 2022-05-13 22:42:50, values: 31*C, 46%
Timestamp: 2022-05-13 22:42:46, values: 31*C, 46%
Timestamp: 2022-05-13 22:42:41, values: 31*C, 46%
Timestamp: 2022-05-13 22:41:59, values: 31*C, 45%
Timestamp: 2022-05-13 22:41:54, values: 31*C, 45%
Timestamp: 2022-05-13 22:41:45, values: 31*C, 45%
Timestamp: 2022-05-13 22:41:40, values: 31*C, 46%
Timestamp: 2022-05-13 22:41:38, values: 31*C, 46%
Timestamp: 2022-05-13 22:41:34, values: 31*C, 45%
Timestamp: 2022-05-13 22:41:31, values: 31*C, 46%
Timestamp: 2022-05-13 22:41:22, values: 31*C, 46%
Timestamp: 2022-05-13 22:41:18, values: 31*C, 46%
Timestamp: 2022-05-13 22:41:11, values: 31*C, 46%
Timestamp: 2022-05-13 22:41:02, values: 31*C, 46%
Timestamp: 2022-05-13 22:40:57, values: 31*C, 46%
Timestamp: 2022-05-13 22:40:53, values: 31*C, 46%
Timestamp: 2022-05-13 22:40:39, values: 31*C, 46%
Timestamp: 2022-05-13 22:40:30, values: 31*C, 46%
Timestamp: 2022-05-13 22:38:09, values: 31*C, 45%
Timestamp: 2022-05-13 22:38:07, values: 31*C, 46%
Timestamp: 2022-05-13 22:38:02, values: 31*C, 45%
Timestamp: 2022-05-13 22:37:42, values: 31*C, 45%
Timestamp: 2022-05-13 22:37:37, values: 31*C, 45%
Timestamp: 2022-05-13 22:37:28, values: 31*C, 45%
Timestamp: 2022-05-13 22:37:24, values: 31*C, 45%
Timestamp: 2022-05-13 22:37:15, values: 31*C, 45%
Timestamp: 2022-05-13 22:37:08, values: 31*C, 45%
Timestamp: 2022-05-13 22:36:50, values: 31*C, 45%
Timestamp: 2022-05-13 22:36:43, values: 31*C, 46%
Timestamp: 2022-05-13 22:36:23, values: 31*C, 46%
Timestamp: 2022-05-13 22:36:14, values: 31*C, 46%
Timestamp: 2022-05-13 22:36:09, values: 31*C, 46%
Timestamp: 2022-05-13 22:36:03, values: 31*C, 46%
Timestamp: 2022-05-13 22:35:56, values: 31*C, 46%
Timestamp: 2022-05-13 22:35:54, values: 31*C, 46%
Timestamp: 2022-05-13 22:35:51, values: 31*C, 46%
Timestamp: 2022-05-13 22:35:44, values: 31*C, 46%
Timestamp: 2022-05-13 22:35:31, values: 31*C, 46%
Timestamp: 2022-05-13 22:35:22, values: 31*C, 46%
Timestamp: 2022-05-13 22:35:01, values: 31*C, 46%
Timestamp: 2022-05-13 22:34:50, values: 31*C, 46%
Timestamp: 2022-05-13 22:34:45, values: 31*C, 46%
Timestamp: 2022-05-13 22:34:36, values: 31*C, 46%
Timestamp: 2022-05-13 22:34:32, values: 31*C, 46%
Timestamp: 2022-05-13 22:34:14, values: 31*C, 46%
Timestamp: 2022-05-13 22:33:56, values: 31*C, 46%
Timestamp: 2022-05-13 22:33:35, values: 31*C, 46%
Timestamp: 2022-05-13 22:32:39, values: 31*C, 47%
