Timestamp: 2022-05-13 01:14:56, values: 30*C, 47%
Timestamp: 2022-05-13 02:31:06, values: 31*C, 46%
Timestamp: 2022-05-13 02:34:00, values: 30*C, 49%
Timestamp: 2022-05-13 02:34:02, values: 30*C, 48%
Timestamp: 2022-05-13 02:34:05, values: 30*C, 47%
Timestamp: 2022-05-13 02:34:07, values: 31*C, 47%
Timestamp: 2022-05-13 02:34:16, values: 31*C, 46%
Timestamp: 2022-05-13 02:34:29, values: 31*C, 45%
Timestamp: 2022-05-13 02:34:41, values: 31*C, 45%
Timestamp: 2022-05-13 02:35:35, values: 31*C, 45%
Timestamp: 2022-05-13 02:35:55, values: 31*C, 45%
Timestamp: 2022-05-13 02:36:40, values: 31*C, 45%
Timestamp: 2022-05-13 02:36:43, values: 31*C, 45%
Timestamp: 2022-05-13 02:36:54, values: 31*C, 45%
Timestamp: 2022-05-13 02:37:08, values: 31*C, 45%
Timestamp: 2022-05-13 02:37:32, values: 31*C, 45%
Timestamp: 2022-05-13 02:37:37, values: 31*C, 45%
Timestamp: 2022-05-13 02:37:39, values: 31*C, 45%
Timestamp: 2022-05-13 02:37:48, values: 31*C, 45%
Timestamp: 2022-05-13 02:37:55, values: 31*C, 45%
Timestamp: 2022-05-13 02:53:31, values: 31*C, 43%
Timestamp: 2022-05-13 03:17:01, values: 28*C, 42%
Timestamp: 2022-05-13 03:18:22, values: 28*C, 42%
Timestamp: 2022-05-13 03:23:32, values: 28*C, 42%
Timestamp: 2022-05-13 03:25:40, values: 28*C, 42%
Timestamp: 2022-05-13 03:26:41, values: 28*C, 42%
Timestamp: 2022-05-13 03:30:14, values: 28*C, 42%
Timestamp: 2022-05-13 03:30:27, values: 28*C, 42%
Timestamp: 2022-05-13 03:33:28, values: 28*C, 42%
Timestamp: 2022-05-13 03:33:40, values: 28*C, 42%
Timestamp: 2022-05-13 03:34:50, values: 28*C, 42%
Timestamp: 2022-05-13 03:38:45, values: 28*C, 42%
Timestamp: 2022-05-13 03:39:43, values: 28*C, 42%
Timestamp: 2022-05-13 03:41:23, values: 28*C, 42%
Timestamp: 2022-05-13 03:41:25, values: 28*C, 42%
Timestamp: 2022-05-13 03:41:34, values: 28*C, 42%
Timestamp: 2022-05-13 03:41:43, values: 28*C, 42%
Timestamp: 2022-05-13 03:41:59, values: 28*C, 42%
Timestamp: 2022-05-13 03:42:04, values: 28*C, 42%
Timestamp: 2022-05-13 03:42:31, values: 27*C, 42%
Timestamp: 2022-05-13 03:42:44, values: 28*C, 42%
Timestamp: 2022-05-13 03:42:47, values: 28*C, 42%
Timestamp: 2022-05-13 03:42:49, values: 28*C, 42%
Timestamp: 2022-05-13 03:43:07, values: 28*C, 42%
Timestamp: 2022-05-13 03:47:40, values: 27*C, 42%
Timestamp: 2022-05-13 03:49:42, values: 27*C, 42%
Timestamp: 2022-05-13 03:51:24, values: 27*C, 42%
Timestamp: 2022-05-13 03:51:31, values: 27*C, 42%
Timestamp: 2022-05-13 03:53:42, values: 27*C, 42%
Timestamp: 2022-05-13 03:54:54, values: 27*C, 42%
Timestamp: 2022-05-13 03:55:05, values: 27*C, 42%
Timestamp: 2022-05-13 03:56:04, values: 27*C, 42%
Timestamp: 2022-05-13 03:56:09, values: 27*C, 42%
Timestamp: 2022-05-13 03:56:16, values: 27*C, 42%
Timestamp: 2022-05-13 03:57:12, values: 27*C, 42%
Timestamp: 2022-05-13 03:57:41, values: 27*C, 42%
Timestamp: 2022-05-13 03:59:07, values: 27*C, 42%
Timestamp: 2022-05-13 04:00:17, values: 27*C, 42%
Timestamp: 2022-05-13 04:00:35, values: 27*C, 42%
